YEAR,EDUC,COUNT_EDUC
2013,1,15240
2013,2,592219
2013,3,404390
2013,4,641598
2013,5,265341
2014,1,13906
2014,2,625824
2014,3,426459
2014,4,723071
2014,5,305622
2015,1,15832
2015,2,591128
2015,3,403365
2015,4,712544
2015,5,305302
2016,1,10289
2016,2,531901
2016,3,370832
2016,4,650028
2016,5,319038
2017,1,25028
2017,2,630814
2017,3,470937
2017,4,865950
2017,5,434596
2018,1,31109
2018,2,724042
2018,3,509396
2018,4,984625
2018,5,490832
2019,1,32897
2019,2,717417
2019,3,494753
2019,4,968390
2019,5,489121
2020,1,33439
2020,2,769103
2020,3,537268
2020,4,1050638
2020,5,547884
2021,1,33887
2021,2,659195
2021,3,501401
2021,4,1007920
2021,5,532896
2022,1,34465
2022,2,740366
2022,3,553719
2022,4,1138036
2022,5,582663
2023,1,33913
2023,2,778758
2023,3,568546
2023,4,1169419
2023,5,590519
