YEAR,RACE,COUNT_RACE
2013,1,54733
2013,2,54614
2013,3,936338
2013,4,12076
2013,5,3046082
2013,6,426092
2014,1,61744
2014,2,61201
2014,3,969170
2014,4,11844
2014,5,3084074
2014,6,429132
2015,1,61796
2015,2,58203
2015,3,867486
2015,4,12617
2015,5,2728260
2015,6,382235
2016,1,61491
2016,2,62842
2016,3,853482
2016,4,14387
2016,5,2856231
2016,6,415809
2017,1,69839
2017,2,72271
2017,3,998040
2017,4,9386
2017,5,3227038
2017,6,482090
2018,1,80181
2018,2,79685
2018,3,1053700
2018,4,12408
2018,5,3433665
2018,6,554963
2019,1,93179
2019,2,77212
2019,3,1091910
2019,4,13121
2019,5,3429301
2019,6,573903
2020,1,120271
2020,2,77719
2020,3,1059065
2020,4,13296
2020,5,3534430
2020,6,612668
2021,1,123760
2021,2,79267
2021,3,985839
2021,4,15712
2021,5,3260241
2021,6,567071
2022,1,125348
2022,2,83459
2022,3,1015680
2022,4,17377
2022,5,3451904
2022,6,580303
2023,1,134655
2023,2,89231
2023,3,1058748
2023,4,18960
2023,5,3503030
2023,6,616033
