,TOTAL,STATEFIP,state,2020_census
0,101695,1,Alabama,5024279
1,169862,4,Arizona,7151502
2,59602,5,Arkansas,3011524
3,675921,6,California,39538223
4,148869,8,Colorado,5773714
5,77885,9,Connecticut,3605944
6,8802,10,Delaware,989948
7,185759,12,Florida,21538187
8,9097,15,Hawaii,1455271
9,7667,16,Idaho,1839106
10,66237,17,Illinois,12801989
11,137337,18,Indiana,6785528
12,174011,19,Iowa,3271616
13,156225,21,Kentucky,4505836
14,23002,22,Louisiana,4657757
15,211910,24,Maryland,6177224
16,9249,25,Massachusetts,7029917
17,230444,26,Michigan,10077331
18,269422,27,Minnesota,5706494
19,84923,28,Mississippi,2961279
20,73128,29,Missouri,6154913
21,61239,30,Montana,1084225
22,20013,31,Nebraska,1961504
23,13263,32,Nevada,3104614
24,320958,34,New Jersey,9288994
25,149500,35,New Mexico,2117522
26,56534,36,New York,20201249
27,90186,37,North Carolina,10439388
28,7182,38,North Dakota,779094
29,449184,39,Ohio,11799448
30,87517,40,Oklahoma,3959353
31,134706,41,Oregon,4237256
32,488061,42,Pennsylvania,13002700
33,84342,45,South Carolina,5118425
34,15310,46,South Dakota,886667
35,64039,47,Tennessee,6910840
36,268766,48,Texas,29145505
37,48330,49,Utah,3205958
38,29046,50,Vermont,643077
39,117277,51,Virginia,8631393
40,85283,53,Washington,7705281
41,63670,55,Wisconsin,5893718
42,15771,56,Wyoming,576851
