STATEFIP,cases,STATEFIP,state,stateFlagCode,state,HomelessPopulationTotal_2024,HomelessPopulationPer10kResidents_2024,HomelessPopulation_PercentChange_pct_2007to2024,UPPER_STDEV,LOWER_STDEV
1,92197,1,Alabama,,Alabama,4601,9,-15.6,87132.97994725,-57020.97994725
2,10517,2,Alaska,,Alaska,2686,37,63.6,87132.97994725,-57020.97994725
4,436829,4,Arizona,,Arizona,14737,20,0.6,87132.97994725,-57020.97994725
5,66396,5,Arkansas,,Arkansas,2783,9,-27.5,87132.97994725,-57020.97994725
6,637179,6,California,,California,187084,48,34.6,87132.97994725,-57020.97994725
8,127628,8,Colorado,,Colorado,18715,32,31.6,87132.97994725,-57020.97994725
9,93942,9,Connecticut,,Connecticut,3410,9,-23.9,87132.97994725,-57020.97994725
10,17237,10,Delaware,,Delaware,1358,13,28.0,87132.97994725,-57020.97994725
11,41602,11,District of Columbia,,District of Columbia,5616,83,5.6,87132.97994725,-57020.97994725
12,363731,12,Florida,,Florida,31362,14,-34.8,87132.97994725,-57020.97994725
13,118972,13,Georgia,,Georgia,12290,11,-37.4,87132.97994725,-57020.97994725
15,9586,15,Hawaii,,Hawaii,11637,81,91.7,87132.97994725,-57020.97994725
16,14782,16,Idaho,,Idaho,2750,14,57.2,87132.97994725,-57020.97994725
17,27103,17,Illinois,,Illinois,25832,21,66.8,87132.97994725,-57020.97994725
18,144623,18,Indiana,,Indiana,6285,9,-14.6,87132.97994725,-57020.97994725
19,308139,19,Iowa,,Iowa,2631,8,-3.8,87132.97994725,-57020.97994725
20,39981,20,Kansas,,Kansas,2793,9,32.3,87132.97994725,-57020.97994725
21,144980,21,Kentucky,,Kentucky,5231,12,-35.1,87132.97994725,-57020.97994725
22,44129,22,Louisiana,,Louisiana,3469,8,-36.9,87132.97994725,-57020.97994725
24,260133,24,Maryland,,Maryland,6069,10,-37.0,87132.97994725,-57020.97994725
25,25399,25,Massachusetts,,Massachusetts,29360,42,94.1,87132.97994725,-57020.97994725
26,295361,26,Michigan,,Michigan,9739,10,-65.6,87132.97994725,-57020.97994725
27,378557,27,Minnesota,,Minnesota,9201,16,25.6,87132.97994725,-57020.97994725
28,125196,28,Mississippi,,Mississippi,1041,4,-24.4,87132.97994725,-57020.97994725
29,67448,29,Missouri,,Missouri,7312,12,17.0,87132.97994725,-57020.97994725
30,76988,30,Montana,,Montana,2008,18,74.6,87132.97994725,-57020.97994725
31,19525,31,Nebraska,,Nebraska,2720,14,-23.0,87132.97994725,-57020.97994725
32,15965,32,Nevada,,Nevada,10106,32,16.9,87132.97994725,-57020.97994725
33,43584,33,New Hampshire,,New Hampshire,2245,16,-0.1,87132.97994725,-57020.97994725
34,412907,34,New Jersey,,New Jersey,12762,14,-26.3,87132.97994725,-57020.97994725
35,214434,35,New Mexico,,New Mexico,4631,22,53.6,87132.97994725,-57020.97994725
36,47560,36,New York,,New York,158019,81,152.4,87132.97994725,-57020.97994725
37,89694,37,North Carolina,,North Carolina,11626,11,-1.5,87132.97994725,-57020.97994725
38,10437,38,North Dakota,,North Dakota,865,11,36.0,87132.97994725,-57020.97994725
39,92622,39,Ohio,,Ohio,11759,10,4.4,87132.97994725,-57020.97994725
40,125410,40,Oklahoma,,Oklahoma,5467,13,29.5,87132.97994725,-57020.97994725
41,183132,41,Oregon,,Oregon,22875,54,30.0,87132.97994725,-57020.97994725
42,524876,42,Pennsylvania,,Pennsylvania,14088,11,-13.1,87132.97994725,-57020.97994725
45,95160,45,South Carolina,,South Carolina,4593,9,-18.9,87132.97994725,-57020.97994725
46,13187,46,South Dakota,,South Dakota,1338,15,131.1,87132.97994725,-57020.97994725
47,87211,47,Tennessee,,Tennessee,8280,12,-26.1,87132.97994725,-57020.97994725
48,455740,48,Texas,,Texas,27987,9,-29.7,87132.97994725,-57020.97994725
49,60351,49,Utah,,Utah,3869,11,28.5,87132.97994725,-57020.97994725
50,25989,50,Vermont,,Vermont,3458,53,234.1,87132.97994725,-57020.97994725
51,122409,51,Virginia,,Virginia,7141,8,-26.7,87132.97994725,-57020.97994725
53,305087,53,Washington,,Washington,31554,40,35.0,87132.97994725,-57020.97994725
55,68232,55,Wisconsin,,Wisconsin,5049,9,-10.6,87132.97994725,-57020.97994725
56,13303,56,Wyoming,,Wyoming,501,9,-6.7,87132.97994725,-57020.97994725
