state,cases,profession
Alabama,92197,22231.0
Alaska,10517,20282.0
Arizona,436829,16248.0
Arkansas,66396,18706.0
California,637179,9915.0
Colorado,127628,23066.0
Connecticut,93942,21976.0
Delaware,17237,16469.0
District of Columbia,41602,16516.0
Florida,363731,18339.0
Georgia,118972,18953.0
Hawaii,9586,24436.0
Idaho,14782,18748.0
Illinois,27103,14507.0
Indiana,144623,23390.0
Iowa,308139,23458.0
Kansas,39981,20847.0
Kentucky,144980,23740.0
Louisiana,44129,24238.0
Maryland,260133,20775.0
Massachusetts,25399,14730.0
Michigan,295361,18159.0
Minnesota,378557,21718.0
Mississippi,125196,16334.0
Missouri,67448,19833.0
Montana,76988,22938.0
Nebraska,19525,23057.0
Nevada,15965,21329.0
New Hampshire,43584,16590.0
New Jersey,412907,20663.0
New Mexico,214434,22783.0
New York,47560,12484.0
North Carolina,89694,17050.0
North Dakota,10437,19824.0
Ohio,92622,16823.0
Oklahoma,125410,20496.0
Oregon,183132,24847.0
Pennsylvania,524876,15328.0
Puerto Rico,3589,19791.0
South Carolina,95160,22798.0
South Dakota,13187,18463.0
Tennessee,87211,22611.0
Texas,455740,16519.0
Utah,60351,26986.0
Vermont,25989,20144.0
Virginia,122409,18912.0
Washington,305087,19368.0
Wisconsin,68232,24147.0
Wyoming,13303,16861.0
